ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Multicellular complex forming ability
10679,,"DSM 43242, ATCC 14629, NCTC 1934, CCUG 10075, JCM 3377, CBS 262.39, CCM 2779, CGMCC 4.1168, CIP 104514, IFM 0239, IFO 14405, IID 5214, IMSNU 21221, JCM 3393, KCTC 9960, NBRC 14405, NCIMB 12084, VKM Ac-869",1,Nocardia otitidiscaviarum,GCA_000308635,0
159507,,"DSM 105904, CCTCC AA 2017043, KCTC 49030, YIM PH21724",1,Nocardia panacis,GCA_003598715,1
10728,,"DSM 44386, ATCC BAA-278, JCM 10919, NBRC 100373, CCUG 46117, IMMIB D-1632, CGMCC 4.1722, CIP 106798, IFM 10001",1,Nocardia paucivorans,GCA_000308675,0
10787,,"DSM 44730, IFM 0784, JCM 12119, NBRC 100136, CIP 108644",1,Nocardia pneumoniae,GCA_000308755,0
10726,,"DSM 44290, ATCC 51512, CCUG 35436, CIP 104600, JCM 9894, CGMCC 4.1880, IFM 0624, NBRC 108224",1,Nocardia pseudobrasiliensis,GCA_001613105,0
10767,,"DSM 44599, CCUG 48752, NRRL B-24204, IMMIB R-145, JCM 13031, CIP 108222, IFM 10564, NBRC 108233",1,Nocardia puris,GCA_001613185,0
10823,202GMO,"DSM 45147, JCM 18300, NRRL B-24637, NBRC 108938",1,Nocardia rhamnosiphila,GCA_000720425,0
158323,,"DSM 101726, CGMCC 4.7329, KCTC 39693, KLBMP S0039",1,Nocardia rhizosphaerihabitans,GCA_014646295,1
10749,W30,"DSM 44488, NBRC 100376, NCIMB 13760, JCM 11441, CCUG 46119, CCUG 46433, CIP 107223, IFM 10177",1,Nocardia salmonicida subsp. cummidelens,GCA_001613285,0
10752,"44691, R89","DSM 44490, CIP 107225, JCM 11439, NBRC 100378, NCIMB 13758, CCUG 46121, CCUG 46295, IFM 10176",1,Nocardia salmonicida subsp. cummidelens,GCA_001612865,0
10725,NA 8191,"DSM 44129, ATCC 43993, CCUG 46828, CIP 104778, IFO 15557, JCM 3360, NBRC 15557, NCIMB 13256, VKM Ac-1967, BCRC 13745, IFM 0286, IMSNU 21188",1,Nocardia seriolae,GCA_007990715,0
10777,,"DSM 44733, CIP 108598, IFM 10311, JCM 12122, NBRC 100134",1,Nocardia shimofusensis,GCA_001613125,0
10791,,"DSM 44766, IFM 10088, JCM 12236, CIP 108510, NBRC 100364",1,Nocardia sienata,GCA_001613205,0
10820,N2-11,"DSM 45078, JBRI 2006, KCTC 19223, JCM 14881, IFM 10868, NBRC 108251",1,Nocardia speluncae,GCA_001613245,0
164318,NEAU-LL90,"JCM 32663, CGMCC 4.7500",1,Nocardia stercoris,GCA_003696265,1
10780,MS1-3,"DSM 44801, CIP 108681, NBRC 100417, JCM 13313, IFM 10572",1,Nocardia takedensis,GCA_000308695,0
10773,"GW 39-1573, GW39-1573T","DSM 44704, CIP 107929, CCUG 49019, JCM 12693, IFM 10554, NBRC 101015",1,Nocardia tenerifensis,GCA_000308715,0
10814,,"DSM 44935, DSM 44897, IFM 0706, JCM 13033, NBRC 100888, CIP 109636",1,Nocardia terpenica,GCA_000320925,0
10790,,"DSM 44765, IFM 0937, JCM 12235, CIP 108506, NBRC 100365",1,Nocardia testacea,GCA_000308775,0
10794,,"DSM 44808, IFM 10145, JCM 12356, CIP 108722, NBRC 100428",1,Nocardia thailandica,GCA_000308795,0
10719,A-0224,"DSM 43136, CBS 224.60, CCRC 13368, CIP 104824, IFO 13702, JCM 3224, KCC A-0224, LBG A 3004, NBRC 13702, NCIB 963, ETH 26650, BCRC 13368, CGMCC 4.1137, CIP 106796, IFM 0856, IMSNU 21186, LBG A-3004",1,Nocardia uniformis,GCA_001613345,0
10793,,"DSM 44807, IFM 0391, JCM 12354, CIP 108721, NBRC 100427",1,Nocardia vermiculata,GCA_001613265,0
10760,M157222,"DSM 44445, CIP 107095, KCTC 19902, NRRL B-24136, CCUG 46118, JCM 11307, IFM 10086, NBRC 100344",1,Nocardia veterana,GCA_000308855,0
10770,MK703-102F1,"DSM 44638, CIP 107372, FERM P-16580, IFO 16497, JCM 10988, NBRC 16497, IFM 10175",1,Nocardia vinacea,GCA_000308835,0
10797,276,"DSM 44895, CGMCC 4.1860, IFM 10549, JCM 12160, NBRC 101358",1,Nocardia xishanensis,GCA_001613365,0
10784,,"DSM 44669, JCM 11893, NBRC 100130, IFM 0265, CIP 108422",1,Nocardia yamanashiensis,GCA_001613325,0
157981,,"DSM 46763, JCM 30082, CFH S0054",1,Nocardia yunnanensis,GCA_003626895,0
11140,MSL-28,"DSM 19323, KCTC 19276, JCM 16020, MSL 28",1,Nocardioides agariphilus,GCA_015352445,0
11090,652-48,"DSM 43109, ATCC 27980, CCM 2712, IMET 7807, JCM 3185, NCIB 11454, CCUG 37987, CIP 103451, BCRC 12442, CECT 3302, CGMCC 4.1230, CGMCC 4.1334, IFO 13917, IMSNU 20105, KACC 20014, KCTC 9186, LMG 16326, NBRC 13917, NCIMB 11454, NRRL B-5389, VKM Ac-682, VKM Ac-805",1,Nocardioides albus,GCA_014191915,0
11109,"EL-17K, EL-17K T","DSM 11439, ATCC BAA-164, JCM 11266, NBRC 100371, NCFB 3076, CIP 106993, KCTC 9944, NCIMB 703076, VKM Ac-2523",1,Nocardioides aquaticus,GCA_018459925,0
11145,MN8,"DSM 23134, CCUG 57506, KCTC 19600, JCM 19119",1,Nocardioides caeni,GCA_004912195,0
11148,MDN22,"DSM 23819, CCUG 57505, KCTC 19601",1,Nocardioides daedukensis,GCA_013408415,0
11155,MJ31,"DSM 25320, JCM 16922, KCTC 19772",1,Nocardioides daejeonensis,GCA_003194585,0
11131,D287,"DSM 18664, CCM 7403, JCM 16608",1,Nocardioides daphniae,GCA_004777465,0
166432,WSJ-1,"KCTC 49117, CCTCC AB 2018027",1,Nocardioides gansuensis,GCA_003076135,0
11146,,"DSM 23133, KCTC 19265, LMG 24128, DCY 24, JCM 14942, JCM 17026",1,Nocardioides humi,GCA_006494775,0
11120,DS-51,"DSM 17944, CIP 109626, KCTC 19180, JCM 15308",1,Nocardioides insulae,GCA_000422825,0
11152,IR27-S3,"DSM 25935, JCM 17985, KACC 14926, NBRC 105384",1,Nocardioides iriomotensis,GCA_004168035,0
11099,,"DSM 20641, ATCC 49810, IAM 12581, IFO 14755, IMET 10678, JCM 1364, NBRC 14755, NCIB 9770, CCUG 37988, CIP 102404, CNF 091, IMSNU 22036, KCTC 9134, LMG 16325, NCIMB 9770, PCM 2328, VKM Ac-1878",1,Nocardioides jensenii,GCA_001313485,0
11113,KSL-2,"DSM 16314, KCTC 19038, JCM 13594, CIP 108882",1,Nocardioides kribbensis,GCA_015070375,0
11125,SBS-12,"DSM 18965, JBRI 2003, KCCM 42681",1,Nocardioides marinisabuli,GCA_013409965,0
11126,CL-DD14,"DSM 18248, CIP 109596, KCCM 42321, JCM 15615",1,Nocardioides marinus,GCA_013408145,0
133104,WYH11-7,"DSM 104026, CGMCC 4.7371",1,Nocardioides phosphati,GCA_014646375,1
11108,J70,"DSM 11054, NCIMB 12834, Grainger J70, JCM 9626, ATCC 51889, CIP 104157, IMSNU 22067, KCTC 9577, LMG 16210, VKM Ac-1998",1,Nocardioides plantarum,GCA_006346395,0
11088,Sco-D01,"DSM 22127, KCTC 19597, JCM 17444",1,Nocardioides scoriae,GCA_900104965,0
11100,,"CCUG 23611, JCM 1363, DSM 20130, ATCC 6946, CCM 1652, DSM 776, IAM 1660, IMET 10368, NCIB 8929, NCTC 4215, BCRC 10381, CECT 466, CIP 82.106, HAMBI 1861, HAMBI 90, IFO 12069, IFO 3530, IMSNU 21329, KCTC 1003, KCTC 3187, KCTC 9106, LMG 16261, NBRC 12069, NBRC 3530, NCCB 39010, NCIMB 8929, NRIC 1841, NRRL B-14051, NRRL B-3157, PCM 2327, VKM Ac-1118, VKM Ac-925, VKM B-667",1,Nocardioides simplex,GCA_006538965,0
11215,"49, SNG49","DSM 44442, JCM 13853, NRRL B-24244, CGMCC 4.2109, NBRC 104164, CIP 108419",1,Nocardiopsis aegyptia,GCA_013410755,0
130496,B32,"DSM 45462, CECT 8712",1,Nocardiopsis algeriensis,GCA_014203695,0
11240,HM 7,"DSM 45278, CCUG 58831, UTMC 00103",1,Nocardiopsis sinuspersici,GCA_013410445,0
11222,,"DSM 44844, CCTCC AA 2040015, CIP 109297, KCTC 19008, NBRC 104398, YIM 90109, JCM 15311",1,Nocardiopsis chromatogenes,GCA_000341185,0
11201,KS9,"DSM 44551, JCM 11768, NRRL B-24145, BCRC 16374, CGMCC 4.2090, CIP 107461, NBRC 100345, NCIMB 14354, VKM Ac-2521, VTT E-042201",1,Nocardiopsis composta,GCA_014200805,0
11241,SA6,"DSM 45786, CGMCC 4.5723, JCM 17424",1,Nocardiopsis flavescens,GCA_900141985,0
11218,,"DSM 44841, CCTCC AA 2040012, CIP 109294, KCTC 19006, NBRC 104397, YIM 90087, JCM 15312",1,Nocardiopsis gilva,GCA_000341165,0
11198,IQ-H3,"DSM 44494, AS 4.1195, JCM 9892, BCRC 16264, CGMCC 4.1195, KCTC 9825, CCIM A.S.4.1195",1,Nocardiopsis halophila,GCA_000341245,0
11220,,"DSM 44845, CCTCC AA 2040016, CIP 109298, KCTC 19009, NBRC 104399, YIM 90130, JCM 15310",0,Nocardiopsis halophila,GCA_000341205,0
11210,F100,"DSM 44410, JCM 11760, NRRL B-24124, BCRC 16376, CGMCC 4.2084, CIP 107430, NBRC 100347, VKM Ac-2519",1,Nocardiopsis halotolerans,GCA_000341065,0
11175,203,"DSM 40297, ATCC 27442, CBS 661.72, CGMCC AS 4.1445, IFO 13360, ISP 5297, KCC S-0782, NBRC 13360, NCTC 434, PCM 2491, RIA 1321, JCM 4782, BCRC 15134, CGMCC 4.1445, CGMCC 4.2110, NRRL B-2782, VKM Ac-1881",1,Nocardiopsis listeri,GCA_001570765,0
11236,,"DSM 45168, KCTC 19473, JSM 073097, JCM 16954",1,Nocardiopsis kunsanensis,GCA_014651735,0
11193,A5-1,"DSM 44048, ATCC 51300, IFO 15854, JCM 9420, NBRC 15854, BCRC 16261, CGMCC 4.2082, IMSNU 22175, VKM Ac-1962",1,Nocardiopsis lucentensis,GCA_000341125,0
132520,No.156,"DSM 46659, CECT 8552",1,Nocardiopsis mwathae,GCA_014201195,0
11237,,"DSM 45234, CCUG 56587, IMMIB L-21",1,Nocardiopsis potens,GCA_000341105,0
11185,208,"DSM 43845, ATCC 35940, JCM 3336, KCC A-0336, BCRC 16257, CGMCC 4.2085, IFM 0264, IFO 14423, IMSNU 21500, IMSNU 22173, KCTC 9130, MAFF 304004, NBRC 14423, NRRL B-16235, PCM 2493, VKM Ac-1880, VTT E-022153",1,Nocardiopsis alba subsp. prasina,GCA_000341265,0
11194,,"DSM 44143, JCM 10456, IMMIB D-1215, CGMCC 4.2091, NBRC 102581, VKM Ac-2518",1,Nocardiopsis synnemataformans,GCA_000340945,0
11195,,"DSM 44380, CCRC 12529, CIP 106425, IFO 14201, JCM 3357, NBRC 14201, NRRL 12026, VKM Ac-942, BCRC 12529, CGMCC 4.1174, IFM 0242",1,Nocardiopsis trehalosi,GCA_001552555,0
16548,,"DSM 43748, ATCC 35107, IFO 14745, INA 1839, NBRC 14745, RIA 1839, JCM 6240, BCRC 16334, CIP 107353, KCTC 9260, MTCC 1417, NRRL B-16114, VKM Ac-924",1,Nonomuraea africana,GCA_014873535,0
16547,"3479, LIA-0443, 0443 (R.A Zhukova 3479/30)","DSM 43173, IFO 13155, KCC A-0109, NBRC 13155, JCM 3109, BCRC 13334, CGMCC 4.1229, CIP 107357, IMSNU 20088, IMSNU 22183, KCTC 9191, KCTC 9261, MTCC 1545, NBIMCC 1594, NRRL B-3905, CCRC 13334, KCC A-109, AS 4.1229",1,Nonomuraea angiospora,GCA_014873145,0
166402,160415,"KCTC 39875, DSM 104309",1,Nonomuraea basaltis,GCA_005893125,1
158292,,"DSM 103465, CGMCC 4.7368, KCTC 39805, SYSU K10005",1,Nonomuraea cavernae,GCA_014646355,1
133109,,"MCCC 1K03213, KCTC 39826, XMU 110",1,Nonomuraea ceibae,GCA_019396325,1
158929,KC310,"DSM 102919, CGMCC 4.7331, KCTC 39774",1,Nonomuraea deserti,GCA_004348685,0
16558,"FH 2205, FH2205","DSM 44320, ATCC 35861, IFO 14309, NBRC 14309, NRRL 11111, JCM 3338, BCRC 13419, CGMCC 4.1204, CIP 107127, KCCM 12213, KCTC 9173, KCTC 9610",1,Nonomuraea dietziae,GCA_014195505,1
16537,,"DSM 43553, ATCC 35575, IFO 14094, IMET 9567, JCM 3283, NBRC 14094, NCIB 11630, NRRL B-16096, BCRC 12537, CCM 3424, CIP 106925, IMSNU 20090, KCTC 9269, MTCC 1059, NCIMB 11630, VKM Ac-854, CCRC 12537, KCC A-0283",1,Nonomuraea ferruginea,GCA_027620355,0
141104,NEAU-BB2C19,"CGMCC 4.7430, DSM 104838",1,Nonomuraea glycinis,GCA_014646515,1
16573,A4036,"DSM 45507, KCTC 19870",1,Nonomuraea jabiensis,GCA_014204795,0
16561,"GW 14-1925, GW78","DSM 44753, JCM 13854, NRRL B-24325",1,Nonomuraea kuesteri,GCA_000716135,0
159166,KC201,"DSM 102917, CGMCC 4.7339, KCTC 39781",1,Nonomuraea longispora,GCA_004348345,0
24634,FMN03,"DSM 45913, JCM 31211, KCTC 29233",1,Nonomuraea muscovyensis,GCA_014207745,0
164452,PA1-10,"JCM 33073, NBRC 112774, TISTR 2497",1,Nonomuraea phyllanthi,GCA_006334985,1
16549,,"DSM 43925, IFO 14345, IMET 9743, INA 2755, NBRC 14345, NRRL B-16243, VKM Ac-1084, JCM 6834, ATCC 49500, BCRC 16335, CIP 107354, IMSNU 20094, KCTC 9277",1,Nonomuraea polychroma,GCA_004011505,0
16552,M2244,"DSM 44170, IFO 15903, INA 4281, NBRC 15903, VKM Ac-1780, JCM 9946, CIP 107392",1,Nonomuraea roseoviolacea subsp. carminata,GCA_024172185,0
16544,,"DSM 43768, ATCC 27031, CBS 132.76, DSM 43897, IFO 14070, IMET 8181, JCM 3234, KCC A-0234, NBRC 14070, VKM Ac-615, JCM 3389, BCRC 12591, CGMCC 4.5715, CIP 107008, IFO 14686, IMSNU 20099, INA 325, KCTC 9284, NBRC 14686, NRRL B-16083",1,Nonomuraea rubra,GCA_014207985,0
16556,NEAU-Z6,"DSM 45729, CGMCC 4.7037, JCM 30783",1,Nonomuraea solani,GCA_900108335,0
16572,,"DSM 45533, JCM 17347, YIM 120770",1,Nonomuraea soli,GCA_013761175,0
16550,3344,"DSM 43926, ATCC 49501, IFO 14348, IMET 9747, INA 3344, NBRC 14348, JCM 6836, BCRC 16339, CGMCC 4.2106, CGMCC 4.5709, CIP 107010, IMSNU 22186, KCTC 9287, NRRL B-16246, VKM Ac-852",1,Nonomuraea turkmeniaca,GCA_005889735,0
16569,210417,"DSM 45477, CGMCC 4.5598, JCM 18322",1,Nonomuraea wenchangensis,GCA_900111685,0
2382,377-78,"DSM 46000, CIP 100330, IMET 7006, CCUG 47142, JCM 9969, CCM 4094, IFO 15012, LMG 16191, NBRC 15012",1,Oerskovia jenensis,GCA_016907235,0
2381,,"CCUG 47105, CIP 108256, DSM 14281, IMET 7003, JCM 11755, LMG 20385, NBRC 106154",1,Oerskovia paurometabola,GCA_016907365,0
2378,"27, AB 1476, N32, Oerskov 27","DSM 20577, ATCC 25835, CIP 100331, DSM 43880, JCM 3160, NCIB 10587, CCM 4093, CFBP 4266, CGMCC 4.1139, CIP 81.27, IAM 14867, IFM 10527, IFO 13506, IFO 15015, IMET 7405, IMSNU 21326, KCCM 12155, KCTC 9084, LMG 4072, NBRC 13506, NBRC 15015, NCIMB 10587, NCTC 11973, NRRL B-8019, RIA 1564, VKM Ac-1024, CCUG 17963",1,Oerskovia turbata,GCA_000718325,0
6312,HB09001,"DSM 23364, CGMCC 1.10341, JCM 17738",1,Ornithinibacter aureus,GCA_009858245,0
6273,2115-028,"DSM 12335, ATCC BAA-9, IFO 16434, NBRC 16434, CCUG 43142, HKI 0125, JCM 11538, CIP 106364, IAM 14900, NCIMB 13613",1,Ornithinicoccus hortensis,GCA_006716185,0
6275,2115-015,"DSM 12362, CIP 106634, HKI 0124, JCM 11540, KCTC 19900, KCTC 19901, NBRC 106159, NCIMB 13784",1,Ornithinimicrobium humiphilum,GCA_006716885,0
6279,K22-20,"DSM 17687, JCM 12763, MTCC 6545, CGMCC 1.6491, CIP 109338",1,Ornithinimicrobium kibberense,GCA_006519705,0
6282,KV-628,"DSM 18082, JCM 12835, NBRC 100762, NRRL B-24347",1,Oryzihumus leptocrescens,GCA_006716205,0
7519,579,"DSM 20116, ATCC 13344, CCM 1649, NCIB 8912, JCM 1330, BCRC 12110, CCUG 23839, CCUG 23885, CDA 579, CGMCC 1.1892, CIP 102364, HAMBI 1850, IAM 12340, IFO 12136, IMSNU 21002, KCCM 41109, KCTC 3378, LMG 3815, NBIMCC 2010, NBRC 12136, NCCB 72018, NCIMB 8912, NRIC 0150, NRRL B-2879, VKM Ac-1105",1,Paenarthrobacter aurescens,GCA_006538985,0
7523,,"DSM 20115, ATCC 11442, CCUG 23888, NCIB 9541, LMG 3822, JCM 2520, BCRC 12111, CGMCC 1.1924, CIP 106988, IAM 14585, IFO 15510, KCTC 3380, NBRC 15510, NCIMB 9541, NRIC 0152, VKM Ac-1978, CCRC 12111",1,Paenarthrobacter histidinolovorans,GCA_014647595,0
7619,Cr-2,"DSM 20138, ATCC 14264, NCPPB 1228, CCUG 23889, LMG 3659, LMG 7254, CIP 107004, CCM 4967, JCM 12267, CECT 4207, CFBP 1380, HAMBI 1849, IAM 14586, ICMP 2607, IFO 15514, NBRC 15514, VKM Ac-1987, PDDCC 2607",1,Paenarthrobacter ilicis,GCA_011761315,0
7576,,"DSM 420, ATCC 49919, JCM 3874, CGMCC 1.1933, CIP 106990, IAM 14587, IFO 15511, KCTC 9902, LMG 16253, NBRC 15511, NCAIM B.02133, NCAIM B.02288, VKM Ac-1988",1,Paenarthrobacter nicotinovorans,GCA_014648735,0
7592,G2-1,"DSM 15232, CCM 4924, JCM 14115, CIP 108435, IAM 15314",1,Paenarthrobacter nitroguajacolicus,GCA_001313365,0
7571,"NC, Murein A11.17","DSM 20126, ATCC 7562, CCM 1644, CIP 67.3, NCIB 7811, JCM 1337, BCRC 10368, CGMCC 1.1897, IAM 1658, IFO 12140, KCCM 40801, KCTC 3387, LMG 3812, MTCC 3454, NBRC 12140, NCIMB 7811, NCTC 7811, NRIC 0157, VKM Ac-1121, VKM Ac-1132, CCUG 577",1,Paenarthrobacter ureafaciens,GCA_004028095,0
7626,LI3,"DSM 22826, CIP 110639, JCM 17806, NCCB 100315",1,Paeniglutamicibacter cryotolerans,GCA_014190875,0
7610,Lz1y,"DSM 15796, JCM 12166, CIP 108630",1,Paeniglutamicibacter gangotriensis,GCA_000348945,0
7609,KGN15,"DSM 15797, CIP 108629, JCM 12165",1,Paeniglutamicibacter kerguelensis,GCA_017876535,0
7597,AG31,"DSM 15454, CIP 108593, LMG 21914, JCM 13568, IAM 15315",1,Paeniglutamicibacter psychrophenolicus,GCA_017876575,0
2386,CTT-37,"DSM 21750, NBRC 104352",1,Paraoerskovia marina,GCA_000701465,0
2387,DSW-2,"DSM 22126, KCTC 13436, JCM 17443",0,Paraoerskovia marina,GCA_900105445,0
17628,KV-614,"DSM 18081, CIP 109166, JCM 12834, NBRC 100761, NRRL B-24346, KCTC 19436, NCIMB 14347",1,Patulibacter minatonensis,GCA_000519325,0
1846,"WS 1085, 6720","DSM 8801, ATCC 25097, CCUG 43489, CIP 67.20, JCM 11681",1,Peribacillus frigoritolerans,GCA_024169475,0
158494,15-057A,"DSM 106435, ATCC BAA-2934",1,Peterkaempfera bronchialis,GCA_003258605,0
15274,AA-223,"DSM 40009, AS 4.1868, ATCC 19766, CBS 504.68, IFO 12779, ISP 5009, NBRC 12779, RIA 1046, JCM 4300, BCRC 13649, CGMCC 4.1868, CGMCC 4.1903, JCM 4582, NCIMB 9811, NRRL B-3064, VKM Ac-1727, VTT E-073013, DSM 117346, CCRC 13649, NCIB 9811, NRRL ISP-5009, UNIQEM 152",1,Peterkaempfera griseoplana,GCA_001418575,0
6298,Lp2,"DSM 14184, JCM 11141, CCUG 46560, CIP 107623, IAM 14965, NBRC 103079, KCTC 39572, NCIMB 14348",1,Phycicoccus elongatus,GCA_000367525,0
8023,,"DSM 43039, ATCC 25604, KCC A-0090, JCM 3090, BCRC 13717, CGMCC 4.5563, IFO 15533, IFO 16051, IMET 9269, KCTC 9652, NBRC 15533, NBRC 16051, NCIMB 12892",1,Pilimelia anulata,GCA_014647895,0
166440,13S1-3,"KCTC 49115, CGMCC 1.16554",1,Planctomonas deserti,GCA_003067705,0
16574,Pb-1075,"DSM 43041, ATCC 23867, CBS 115.69, IAM 14288, IFO 13879, IFO 13918, JCM 3092, KCC A-0092, NBRC 13879, NBRC 13918, NCIMB 13269, VKM Ac-700, BCRC 13637, CGMCC 4.1206, IMSNU 20108, KCTC 9176, MTCC 1070",1,Planobispora longispora,GCA_016863135,0
16575,Pb-1435,"DSM 43051, ATCC 23866, JCM 3166, KCC A-0166, BCRC 13421, IFO 15558, IMSNU 21363, KCTC 9406, NBRC 15558, NRRL B-8121, VKM Ac-1318",1,Planobispora rosea,GCA_014648175,0
16576,B-677,"DSM 43177, ATCC 23863, IAM 14289, JCM 3093, KCC A-0093, BCRC 13425, CBS 117.69, CGMCC 4.1205, IFM 1246, IFO 13880, IMET 9030, IMSNU 20109, KACC 20019, KCTC 9175, KCTC 9473, NBIMCC 1472, NBRC 13880, NRRL B-8120, RIA 939, VKM Ac-664",1,Planomonospora parontospora subsp. parontospora,GCA_016863215,0
16580,A51460,"DSM 44632, ATCC 51587, BCC 72025, JCM 9374, NRRL 18923",1,Planomonospora sphaerica,GCA_001653075,0
16577,B-1072,"DSM 43178, ATCC 23865, KCC A-0167, JCM 3167, CECT 3303, IFM 1255, IFO 15590, IMSNU 21352, KCTC 9474, MTCC 1056, NBRC 15590, NRRL B-16603, VKM Ac-699",1,Planomonospora venezuelensis,GCA_014203605,0
8037,,"DSM 44991, BCC 51133, CCTCC AA 205013, JCM 16008, NBRC 105377, TBRC 198, YIM 46034",1,Planosporangium flavigriseum,GCA_011947225,0
16584,A-T 0875,"DSM 45570, BCC 24832, NBRC 104272, JCM 17936",1,Planotetraspora kaengkrachanensis,GCA_016862895,0
16581,"NA9211028, SILA 9201","DSM 44359, IFO 15435, JCM 9131, NBRC 15435, ATCC 51423, BCRC 16399, CGMCC 4.5631, IMSNU 22077, VKM Ac-2000",1,Planotetraspora mira,GCA_016863275,0
16585,A-T 1383,"DSM 45571, BCC 26045, NBRC 104273, JCM 17937",1,Planotetraspora phitsanulokensis,GCA_016863295,0
16582,TT 00-51,"DSM 44746, NBRC 100141, JCM 12867, BCRC 16800, CGMCC 4.5632",1,Planotetraspora silvatica,GCA_016863315,0
8047,,"DSM 45387, CCTCC AA 209047, JCM 31039, NBRC 110450, YIM 68255",1,Plantactinospora endophytica,GCA_016862915,0
8045,,"DSM 45238, BCC 55027, CCTCC AA 208022, JCM 16905, NBRC 109088, TBRC 2210, YIM 61359",1,Plantactinospora mayteni,GCA_016862935,0
7473,"P 297/02, P297/02","DSM 14012, LMG 19919, JCM 12144, CIP 108227, IAM 15049, NBRC 103081, VKM Ac-2504",1,Plantibacter flavus,GCA_003755125,0
12045,Pl sm5,"DSM 14734, JCM 12638",1,Polyangium spumosum,GCA_009649845,1
8025,TT97-42,"DSM 44947, NBRC 101157, JCM 14904, CGMCC 4.5572",1,Polymorphospora rubra,GCA_018324255,0
159031,"Oil+RF-744-WCA-WT-11, Oil-RF-744-WCA-WT-11","DSM 106895, JCM 34417",1,Porcincola intestinalis,GCA_009696445,1
13317,,"DSM 44590, CCTCC AA 001016, YIM 90005, JCM 13022, BCRC 16313, CIP 107981, KCTC 19002, CCRC 16313",1,Prauserella alba,GCA_024171735,0
130800,SP28S-3,"DSM 46655, CGMCC 4.7182, JCM 33043",1,Prauserella coralliicola,GCA_005146945,0
158465,,"DSM 45973, YIM 121212, CCTCC AA 2013011",1,Prauserella flavalba,GCA_003202235,0
13316,,"DSM 44617, YIM 90001, JCM 13023, BCRC 16311, CCTCC AA 001015, CIP 107978, KCTC 19000",1,Prauserella halophila,GCA_024171895,0
12591,,"DSM 43110, ATCC 15908, IMET 7267, INMI 18, JCM 3051, KCC A-0051, RIA 562, CGMCC 4.1485, IFM 1286, IFO 12397, IMSNU 20110, KCTC 9069, LMG 4076, MTCC 271, NBIMCC 1485, NBRC 12397, NCIMB 12149, NRRL B-3485, VKM Ac-665",1,Promicromonospora citrea,GCA_013004695,0
12604,RS16,"DSM 19349, LMG 24382, JCM 16033",1,Promicromonospora kroppenstedtii,GCA_000515355,0
12606,09-Be-007,"DSM 22081, CCM 7634, CCUG 57424, JCM 17975",1,Promicromonospora umidemergens,GCA_024171995,0
12662,L60,"DSM 8251, ATCC 49929, CIP 110011, NCTC 11082, CCUG 33480, LMG 16732, JCM 13395",1,Propioniferax innocua,GCA_006716235,0
7581,A6,"DSM 12829, ATCC 700700, CIP 107037, JCM 12360, KCTC 9906, NCIMB 13794, MTCC 3706",1,Pseudarthrobacter chlorophenolicus,GCA_000022025,0
7628,,"DSM 23395, CCUG 59597, IMMIB L-1606, JCM 19107",1,Pseudarthrobacter equi,GCA_900105535,0
7622,Sphe3,"DSM 18606, LMG 23796, JCM 16027",1,Pseudarthrobacter phenanthrenivorans,GCA_000189535,0
7533,2568,"DSM 20136, ATCC 15216, NCIB 10267, JCM 2523, BCRC 12114, CCUG 23891, CGMCC 1.1927, CIP 106989, IAM 14590, IFO 15512, KCTC 3384, LMG 16679, LMG 3821, NBRC 15512, NCIMB 10267, NRIC 0155, VKM Ac-1955, CCRC 12114",1,Pseudarthrobacter polychromogenes,GCA_014644495,0
7480,,"DSM 23821, CCUG 58142, KCTC 22691, CAU 59",1,Pseudoclavibacter chungangensis,GCA_008831135,0
7475,,"DSM 20419, ATCC 13715, CIP 108565, JCM 9491, CCUG 43303, IFO 15775, TISTR 1509, IAM 14726, LMG 21450, NBRC 15775, NCIB 8939",1,Pseudoclavibacter helvolus,GCA_014191305,0
6330,T2A-S27,"DSM 23768, CECT 7306, LMG 24148, JCM 18962",1,Pseudokineococcus lusitanus,GCA_003751265,0
13368,,"DSM 44104, IFO 14991, NBRC 14991, VKM Ac-901, JCM 9103, CGMCC 4.1531, IMSNU 20049, KCTC 9691",1,Pseudonocardia alni,GCA_002813375,0
13393,"H9, CMGCC 4.1877","DSM 44958, CGMCC 4.1877, JCM 12462, CIP 109186, CGMCC 4.11877",1,Pseudonocardia ammonioxydans,GCA_900115005,0
13388,"DVS-5a1, MTCC-4297","DSM 44749, MTCC 4297, JCM 12172, CIP 108584, DVS 5a1",1,Pseudonocardia antarctica,GCA_013408715,0
13392,CB 1190,"DSM 44775, ATCC 55486, JCM 13855",1,Pseudonocardia dioxanivorans,GCA_000196675,1
13397,,"DSM 44969, CCTCC AA 206026, KCTC 19150, YIM 56035, JCM 16220, BCRC 16906",1,Pseudonocardia endophytica,GCA_004339565,1
13352,,"DSM 43281, ATCC 15104, NCIB 9436, JCM 3392, BCRC 13740, CGMCC 4.1218, HUT 6554, IFO 14498, IMET 7645, IMSNU 22140, KCTC 9301, KCTC 9692, NBRC 14498, NCIMB 9436, NRRL B-16171, PCM 2249, VKM Ac-799, VTT E-073031",1,Pseudonocardia hydrocarbonoxydans,GCA_006539565,0
24450,A4038,"DSM 45670, KCTC 29062, NRRL B-24890",1,Pseudonocardia kujensis,GCA_021283305,0
