ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Gram stain
133656,Y226,"CGMCC 1.10658, JCM 17212",1,Microbulbifer yueqingensis,GCA_900100355,negative
7496,KSL-113,"DSM 19663, CIP 108920, KCTC 19126, JCM 15138, NBRC 106160",1,Microcella alkalica,GCA_014137945,positive
7493,Ac4r,"DSM 18851, CIP 108473, LMG 22690, KCTC 19624",1,Microcella alkaliphila,GCA_004216855,negative
7506,CW1,"DSM 23889, JCM 14730, KCTC 13142",1,Microcella frigidaquae,GCA_009664385,positive
7761,WS 4601,"DSM 23974, LMG 26183",1,Micrococcus cohnii,GCA_014205175,positive
7759,,"DSM 17945, KCTC 19156, YIM 56238, JCM 16951",1,Micrococcus endophyticus,GCA_014205115,positive
7756,LW4,"DSM 19079, CGMCC 1.5361, JCM 14000, CCUG 56037, BCRC 80069, CCUG 54219, CIP 109517",1,Micrococcus flavus,GCA_004563965,positive
7748,JL 178,"DSM 20315, ATCC 27566, CCM 2693, CCUG 33027, NCTC 11037, JCM 11572, BCRC 12151, CGMCC 1.2300, CIP 81.70, IAM 13002, IFO 15355, KCTC 3517, LMG 14218, NBRC 15355, NCAIM B.02054, NCIMB 14422, VKM Ac-2240, VKM B-1815",1,Micrococcus lylae,GCA_001570885,positive
24203,V3M1,"DSM 28110, CGMCC 1.7054, NBRC 104258, JCM 17489",1,Micrococcus terreus,GCA_900116905,positive
7760,,"DSM 21948, CCTCC AA 208060, JCM 16547, YIM 65004, CCUG 59864",1,Micrococcus luteus,GCA_014138885,positive
170923,IPMA8,ACOI 3416,1,Microcoleus asticus,GCA_013179805,negative
12613,"J47, Ben-108","DSM 12936, ACM 5120, JCM 13522, CCUG 43143, Ben 108, CIP 107259, KACC 14261",1,Microlunatus capsulatus,GCA_017876495,positive
132342,S3Af-1,"DSM 100019, CGMCC 4.7306, JCM 31774",1,Microlunatus endophyticus,GCA_014646195,negative
24346,W6,"DSM 27985, CGMCC 4.6856, JCM 17701, KACC 17380",1,Microlunatus flavus,GCA_900110855,positive
132580,4Q3S-3,"DSM 100723, CGMCC 4.7307",1,Microlunatus kandeliicorticis,GCA_014137855,positive
12627,,"DSM 18662, KCTC 13058, Gsoil 954, JCM 16016",1,Microlunatus panaciterrae,GCA_016907535,positive
12630,12-Be-011,"CCUG 57425, DSM 22083, CCM 7636, JCM 18708",1,Microlunatus parietis,GCA_013407955,positive
12625,NM-1,"DSM 10555, JCM 9379, ATCC 700054, CIP 104466, FERM P-9771, HAMBI 2303, KCTC 9798, LMG 18116, NBRC 101784, NCIMB 13414, VKM Ac-1990",1,Microlunatus phosphovorus,GCA_000270245,positive
12629,"CC-012602, CC-12602","DSM 21800, CCM 7685, CCUG 58049, JCM 18709",1,Microlunatus soli,GCA_900105385,positive
160441,,"DSM 103947, KCTC 39847, SYSU K12189",1,Microlunatus speluncae,GCA_009299835,positive
166243,5R2A7,"LMG 30755, CECT 9656",1,Micromonospora acroterricola,GCA_003172955,positive
24216,SP03-05,"DSM 46721, BCC 45620, NBRC 109075",1,Micromonospora andamanensis,GCA_016863495,positive
7983,TT1-11,"DSM 44815, JCM 12357, PCU 239, CGMCC 4.5704, CIP 108632, NBRC 101913, TISTR 1532",1,Micromonospora auratinigra,GCA_900089595,positive
8012,MC5-1,"DSM 45246, JCM 12873, KCTC 19332, PCU 267, TISTR 1564, CGMCC 4.5707, NBRC 106529, NRRL B-24766",1,Micromonospora chaiyaphumensis,GCA_900091435,positive
7989,71-97,"DSM 43903, ATCC 35571, CIP 108947, IFO 14025, JCM 3256, KCC A-0256, NBRC 14025, NRRL B-16101, BCRC 12535, CGMCC 4.1269, IMSNU 21289, KCTC 9367",1,Micromonospora citrea,GCA_900090315,positive
7997,NAR01,"DSM 44875, CIP 109402, LMG 23557, NRRL B-24772, JCM 14921, NBRC 106140",1,Micromonospora coriariae,GCA_900091455,positive
158459,LHW63014,"DSM 106193, CCTCC AA 2018012",1,Micromonospora craniellae,GCA_003419945,positive
166130,NA12,"DSM 100982, KCTC 39647",1,Micromonospora craterilacus,GCA_003236315,positive
8021,CR 30,"DSM 45599, CECT 7891, JCM 31700",1,Micromonospora cremea,GCA_900143515,positive
159690,13K206,"DSM 107532, JCM 32583",1,Micromonospora deserti,GCA_003236335,positive
7982,LK2-10,"DSM 44814, JCM 12345, PCU 238, TISTR 1531, CIP 108667, NBRC 101912, NRRL B-24761",1,Micromonospora eburnea,GCA_900090225,positive
7990,65-m50,"DSM 43904, ATCC 35572, CIP 108948, IFO 14022, JCM 3257, KCC A-0257, NBRC 14022, NRRL B-16102, BCRC 13324, CGMCC 4.1254, IMSNU 21290",1,Micromonospora echinaurantiaca,GCA_900090235,positive
7984,AA-459,"DSM 44398, CIP 108382, IFAM AA-459, JCM 12677, NBRC 101889, NRRL B-24248",1,Micromonospora endolithica,GCA_003626595,positive
8052,202201,"DSM 45430, BCC 72028, CGMCC 4.5597, NBRC 109090, JCM 18317",1,Micromonospora endophytica,GCA_003236305,positive
7992,71-m11,"DSM 43906, ATCC 35574, CIP 108952, JCM 3259, KCC A-0259, NRRL B-16104, IFO 14026, IMSNU 21296, NBRC 14026",1,Micromonospora fulviviridis,GCA_014648395,positive
158643,WPS1-2,"KCTC 39787, NBRC 112325, TISTR 2405, JCM 32902, DSM 117320",1,Micromonospora globbae,GCA_003610785,positive
7993,INA,"DSM 46123, ATCC 27600, CIP 108951, IFO 13156, IMET 8306, JCM 3188, KCC A-0188, NBRC 13156, NRRL 3292, BCRC 13363, CECT 3295, HUT 6602, IMSNU 22033, KACC 20104, KCTC 1055, NCIMB 12731",1,Micromonospora inyonensis,GCA_900091415,positive
24213,,"DSM 45612, JCM 17696, MBRL 34",1,Micromonospora kangleipakensis,GCA_004217615,positive
8030,,"DSM 45424, CCTCC AA 207012, KCTC 19195, YIM 013, JCM 16959, NBRC 106530",1,Micromonospora lutea,GCA_016863535,positive
8016,JSM1-1,"DSM 45555, JCM 12870, PCU 269, TISTR 1566",1,Micromonospora marina,GCA_900091565,positive
23117,D10-9-5,"DSM 45782, JCM 17013, NBRC 108767, TISTR 2000, PCU 322",1,Micromonospora maritima,GCA_902825405,positive
7980,6393-C,"DSM 44100, ATCC 49364, FERM BP-1196, IFO 14550, NBRC 14550, NRRL B-16490, JCM 9104, CGMCC 4.5527, CIP 106812, IMSNU 22003, KCTC 9354, VKM Ac-2009",1,Catellatospora matsumotoensis,GCA_900091525,positive
7985,,"DSM 44830, LMG 22229, NBRC 101890, NRRL B-24769, WA 201, JCM 13240, CIP 108755",1,Micromonospora mirobrigensis,GCA_900091555,positive
159632,S2509,"DSM 45926, KCTC 29201",1,Micromonospora orduensis,GCA_006228125,positive
133064,NEAU-JXY5,"DSM 103125, CGMCC 4.7347, JCM 32493",1,Micromonospora parathelypteridis,GCA_014201145,positive
8013,TJ2-2,"DSM 45245, JCM 12833, TISTR 1559, NRRL B-24764",1,Micromonospora pattaloongensis,GCA_900107255,positive
23126,NEAU-J5,"DSM 45730, CGMCC 4.7038, KCTC 39763, NBRC 110907, JCM 19683",1,Micromonospora phaseoli,GCA_003253475,positive
158771,,"CECT 9369, DSM 105363, SG 15",1,Micromonospora phytophila,GCA_023656545,positive
8015,,"DSM 45175, LMG 24546, GUI 15, JCM 17025",1,Micromonospora pisi,GCA_003633685,positive
132666,DS3010,"DSM 45981, KCTC 29243",1,Micromonospora profundi,GCA_011927785,positive
8033,RtIII47,"DSM 45781, CGMCC 4.5826, NBRC 106684, JCM 19682, BCC 51292",1,Micromonospora qiuiae,GCA_016863555,positive
164205,AZ1-13,"JCM 32147, KCTC 39786, NBRC 112324, TISTR 2404",1,Micromonospora radicis,GCA_003583405,positive
8017,211018,"DSM 45431, CGMCC 4.5599, NBRC 110451, JCM 17737",1,Micromonospora rhizosphaerae,GCA_900091465,positive
8010,AM105,"DSM 44983, CGMCC 4.2495, JCM 15474",1,Micromonospora rifamycinica,GCA_001542325,positive
8001,,"DSM 44871, LMG 24056, NBRC 106573, NRRL B-24770, Lupac 09, JCM 16032",1,Micromonospora saelicesensis,GCA_900091575,positive
7995,MK-65,"DSM 43912, ATCC 21826, CIP 108950, DSM 44886, JCM 3310, KCC A-0310, NBRC 101888, NRRL 11334, KACC 20106, KCTC 9215",1,Micromonospora sagamiensis,GCA_007829995,positive
23118,SH2-13,"DSM 45794, BCC 45601, NBRC 107934",1,Micromonospora sediminicola,GCA_900089585,positive
8031,MS 426,"DSM 45558, CGMCC 4.3550, JCM 15670, NBRC 107745",1,Micromonospora sediminimaris,GCA_016863575,positive
7998,TT2-4,"DSM 45097, CIP 109112, JCM 12769, NBRC 101914, PCU 266, TISTR 1554, NRRL B-24762",1,Micromonospora siamensis,GCA_900090305,positive
132026,,"DSM 101760, NRRL B-65345, TMS 7",1,Micromonospora terminaliae,GCA_009671205,positive
8008,TVU1,"DSM 45142, JCM 18297, NRRL B-24576",1,Micromonospora tulbaghiae,GCA_900091605,positive
132606,,"DSM 101692, CECT 9022, GUI 23",1,Micromonospora ureilytica,GCA_015751765,positive
132608,,"DSM 101695, CECT 9019, GUI 63",1,Micromonospora vinacea,GCA_015751785,positive
7996,FD 23988,"DSM 43909, ATCC 31146, CIP 108949, JCM 3267, KCC A-0267, NBRC 101887, BCRC 13409",1,Micromonospora viridifaciens,GCA_900091545,positive
23120,2602GPT1-05,"DSM 45709, CCTCC AA 2012002, JCM 31038",1,Micromonospora wenchangensis,GCA_002210435,positive
8019,FXJ6.011,"DSM 45577, CGMCC 4.5736, NBRC 107727, JCM 18319",1,Micromonospora yangpuensis,GCA_014645775,positive
8022,CR 38,"DSM 45600, CECT 7892, JCM 31702",1,Micromonospora zamorensis,GCA_900090275,positive
170922,HM134,,1,Micromonospora zhangzhouensis,GCA_007833915,positive
7500,SSWW-21,"DSM 18319, JCM 30550, KCTC 19185, SSWW 21",1,Microterricola gilva,GCA_004217495,positive
7344,PON10,"DSM 22300, LMG 24222, MTCC 9128, CCUG 55700, JCM 15132, KCTC 19685",1,Microterricola pindariensis,GCA_002936985,positive
7499,KV-677,"DSM 21772, NBRC 102123, NRRL B-24538, JCM 15926",1,Microterricola viridarii,GCA_900104895,positive
7203,5420S-16,"DSM 21343, KACC 12744, NBRC 106137",1,Microvirga aerilata,GCA_016743775,negative
7204,5420S-12,"DSM 21344, KACC 12743, NBRC 106136",1,Microvirga aerophila,GCA_003332305,negative
132877,SV2184P,"DSM 25393, KCTC 23864, NRRL B-24874",1,Microvirga arabica,GCA_016811235,negative
166372,3D203,"CGMCC 1.17691, KCTC 72653",1,Microvirga arsenatis,GCA_009910705,negative
130401,TFB,"DSM 28869, ATCC BAA-817, CIP 108443, IAM 15034, JCM 11936, KCTC 12101",1,Microvirga flocculans,GCA_000518665,negative
133490,25B,"CGMCC 1.7666, JCM 15710",1,Microvirga guangxiensis,GCA_900102135,negative
133752,Lut6,"LMG 26460, HAMBI 3236",1,Microvirga lupini,GCA_000517005,negative
133326,V5/3M,"LMG 29787, RCAM 02728",1,Microvirga ossetica,GCA_002741015,negative
133322,R491,"KEMB 9005-408, KACC 18969, NBRC 112417",1,Microvirga soli,GCA_016734765,negative
10522,SGLY2,"DSM 15089, CIP 108159, LMG 18919, JCM 21462, IAM 14991",1,Microvirgula aerodenitrificans,GCA_000620105,negative
10626,J81,"DSM 44463, CIP 109234, NRRL B-24424, JCM 13999, BCRC 16840, IFM 10694, NBRC 105863",1,Millisia brevis,GCA_001552615,positive
133608,YM18-15,"NBRC 106267, KCTC 19750, MBIC 08348, DSM 109839",1,Miniimonas arenae,GCA_006351005,positive
159812,SY3-15,"MCCC 1K03467, KCTC 62335",1,Minwuia thermotolerans,GCA_002924445,negative
166379,HWN-4,"LMG 28685, KTCC 42483",1,Roseateles chitinivorans,GCA_002761755,negative
134139,3001,"IAM 14711, ATCC BAA-476, JCM 21276, NBRC 102408, CIP 108954",1,Roseateles chitosanitabidus,GCA_001598255,negative
158764,HZ7,"JCM 31671, CCTCC AB 2014353",1,Roseateles noduli,GCA_001653795,negative
17135,"M 9, M9T","DSM 13811, ATCC BAA-307, CIP 108358, JCM 12226",1,Mitsuokella jalaludinii,GCA_000702905,negative
17134,A 405-1,"DSM 20544, ATCC 27723, NCTC 10934, CCUG 21055, CCM 6003, JCM 2054, CIP 107116",1,Mitsuokella multacida,GCA_000155955,negative
5012,1400/07,"DSM 22759, LMG 25383",1,Mixta calida,GCA_002095355,negative
5013,A18/07,"DSM 22758, LMG 25382",1,Mixta gaviniae,GCA_002095455,negative
132450,Gal1,"DSM 26537, JCM 18753",1,Mobilisporobacter senegalensis,GCA_003752155,positive
24121,P3M-3,"DSM 26468, KCTC 15522, VKM B-2804",1,Mobilitalea sibirica,GCA_015999265,positive
208,BV345-16,"DSM 23059, ATCC 35241, CCUG 21018, NCTC 11656",1,Mobiluncus curtisii subsp. curtisii,GCA_000146285,variable
209,"BV376-6, Spiegel BV376-6","DSM 21655, ATCC 35242, CCUG 17762, LMG 7786, NCTC 11657",1,Mobiluncus holmesii,GCA_000185445,variable
206,"SV 175, SV 17J","DSM 25311, ATCC 35243, CCUG 17763, CCUG 20071, LMG 7787, NCTC 11658",1,Mobiluncus mulieris,GCA_000160615,negative
5826,5NBRC 108673,"DSM 45764, KCTC 19887, NBRC 108673, KLBMP 1279",1,Modestobacter roseus,GCA_007994135,positive
5831,CP153-2,"DSM 16678, ATCC BAA-1040, CIP 109814, JCM 15578, CGMCC 1.10729",1,Modestobacter versicolor,GCA_003226595,positive
4983,2896-78,"DSM 5076, ATCC 35017, CCUG 51928, NCTC 12132, LMG 10145, JCM 5895, CDC 2896-78, CIP 103034",1,Moellerella wisconsensis,GCA_001294465,negative
135033,HM-7,"CIP 107383, JCM 11205, ATCC 700923, CCUG 47132, KCTC 15026",1,Mogibacterium diversum,GCA_002998925,positive
158922,WCA-MUC-591-APC-4B,"DSM 106282, JCM 34371",1,Mogibacterium kristiansenii,GCA_009695905,positive
140420,C7,"DSM 100241, LMG 28800",1,Pontivivens marinum,GCA_900231835,negative
132419,,"DSM 27929, CCTCC AB 2012966, YIM 4-4",0,Mongoliibacter ruber,GCA_003003005,negative
140704,MIMtkB18,"KCTC 42635, MCCC 1K00571, DSM 109489",1,Mongoliimonas terrestris,GCA_001927285,negative
133707,,"ACCC 05421, KCTC 23224, MIM 18",1,Mongoliitalea lutea,GCA_014652135,negative
158306,14,"DSM 104782, JCM 31914",1,Monoglobus pectinilyticus,GCA_002874775,positive
16822,"64-FGQ, 64_FGQ","DSM 23265, VKM B-2603",1,Moorella humiferrea,GCA_002995755,positive
16811,Fontaine,"DSM 521, ATCC 35608, VPI 12954, JCM 9319, KCTC 5000, VPI 12984, CIP 108294",1,Moorella thermoacetica,GCA_001267405,positive
136947,,"CIP 108447, DSM 1974, ATCC 33924, AIP 98-04",1,Moorella thermoacetica,GCA_008121895,positive
8160,5118,"DSM 6999, ATCC 29525, NCTC 11091, CCUG 6415, CIP 82.25, LMG 5133, IFO 14588, CCM 6072, CCUG 6415A",1,Moraxella atlantae,GCA_002027585,negative
8163,88365,"DSM 14165, ATCC 700022, CCUG 35435, CIP 104716, NCTC 12925",1,Moraxella boevrei,GCA_000379845,negative
8153,L-3,"DSM 6328, ATCC 10900, CDC KC745, IMET 11301, JCM 17254, CCUG 2133, NCTC 11013, LMG 986, NCDC KC 745, CIP 70.40, IAM 12313, LMG 5299, KSC 494",1,Moraxella bovis,GCA_002014975,negative
8172,8897,"DSM 19149, ATCC 700019, CCUG 33296, CIP 104714, NCTC 12877",1,Moraxella caprae,GCA_000426885,negative
8161,"Ne 11, Nell","CCUG 353, NCTC 11020, LMG 11192, DSM 9143, ATCC 25238, CIP 73.21",1,Moraxella catarrhalis,GCA_001632285,negative
134460,Chatham,"CIP A151, ATCC 23246, NCTC 4103",0,Moraxella catarrhalis,GCA_900453075,negative
8169,,"DSM 18052, ATCC 17967, CCUG 4441, CIP A182, NCTC 11011, Morax 260, JCM 20914, CDC KC784, IAM 12150, IAM 13554, LMG 5301, NBRC 102154",1,Moraxella lacunata subsp. lacunata,GCA_001591245,negative
8171,,"DSM 19150, ATCC 51388, CCUG 9405, CIP 103802, LMG 5127",1,Moraxella lincolnii,GCA_002014765,negative
8151,A1920,"DSM 6327, ATCC 19975, CCUG 348, CIP 68.36, NCTC 10464, KSC 494, CCM 5604",1,Moraxella nonliquefaciens,GCA_001679005,negative
8174,248-01,"DSM 22804, CCUG 54913, CECT 7295",1,Moraxella pluranimalium,GCA_002014825,negative
8175,SN9-4M,"DSM 25326, CCUG 54912, CECT 7294, CIP 110214",1,Moraxella porci,GCA_002014855,negative
4986,"M 11, 33 M","DSM 30164, ATCC 25830, IFO 3848, LMG 7874, NBRC 3848, NCIB 235, NCTC 235, WDCM 00112, CCUG 6328, JCM 1672, ATCC 8076H, BCRC 10706, CECT 173, CGMCC 1.6767, CIP 103763, CIP A231, KACC 13822, NBRC 105691, NCCB 73065, NCIMB 235",1,Morganella morganii subsp. morganii,GCA_001598895,negative
4989,u2/3,"CCUG 53682, LMG 23374, DSM 17886, CIP 109403, JCM 16473",1,Morganella psychrotolerans,GCA_001676155,negative
132847,MP-1,"DSM 104096, ATCC 15381, CCUG 20304, CIP 102861, LMG 10934, NCIMB 1144",1,Moritella marina,GCA_000291685,negative
10513,,"DSM 24335, ATCC 33486, CIP 81.93, NCTC 11393, UQM 858",1,Morococcus cerebrosus,GCA_000813705,negative
164622,K478,"JCM 33652, CGMCC 1.17229",1,Motilibacter aurantiacus,GCA_011250645,positive
164621,E257,"JCM 33651, CGMCC 1.17159",1,Motilibacter deserti,GCA_011250635,positive
17891,RP-AC37,"DSM 45328, KCTC 19630",1,Motilibacter peucedani,GCA_003634695,positive
24803,RS-16,"DSM 45622, KACC 16209, JCM 32087",1,Motilibacter rhizosphaerae,GCA_004216915,positive
133346,YH6,"KCTC 42594, MCCC 1H00122",1,Motilimonas eburnea,GCA_021295345,negative
159834,C34,"MCCC 1K03462, KCTC 62319",1,Motiliproteus coralliicola,GCA_003345655,negative
130662,"JM-1070, JM1070","DSM 28175, CIP 110694, LMG 28078",1,Mucilaginibacter auburnensis,GCA_002797815,negative
166131,MAH-19,"KACC 19745, CGMCC 1.13657",1,Mucilaginibacter corticis,GCA_007558865,negative
140568,PP-F2F-G47,"CCM 8711, CIP 111182, LMG 29767, DSM 103633",1,Mucilaginibacter galii,GCA_014635825,negative
166292,F01003,"KCTC 62991, CCTCC AB 2019023",1,Mucilaginibacter gilvus,GCA_004054195,negative
133595,Gh-67,"NCIMB 14470, KCTC 22380",1,Mucilaginibacter gossypii,GCA_900100945,negative
133596,Gh-48,"NCIMB 14471, KCTC 22379",1,Mucilaginibacter gossypiicola,GCA_900110105,negative
14133,TPT18,"DSM 18602, ATCC BAA-1391, VKM B-2447",1,Mucilaginibacter gracilis,GCA_003633615,negative
166098,ZR32,"KCTC 62193, CCTCC AB 2017285",1,Mucilaginibacter hurinus,GCA_003324525,negative
133884,YC7004,"KACC 16571, NBRC 108856",1,Mucilaginibacter jinjuensis,GCA_028596025,negative
134361,SCK,"NBRC 102645, KCTC 22227",1,Mucilaginibacter kameinonensis,GCA_003675385,negative
133602,ANJLI2,"ATCC BAA-1855, LMG 25358",1,Mucilaginibacter lappiensis,GCA_014200545,negative
133603,MP1X4,"ATCC BAA-1856, LMG 25360",1,Mucilaginibacter mallensis,GCA_900105165,negative
14135,B9,DSM 19975,1,Mucilaginibacter oryzae,GCA_003148845,negative
14134,TPT56,"DSM 18603, ATCC BAA-1394, VKM B-2446",1,Mucilaginibacter paludis,GCA_000166195,negative
133142,TBZ30,"KCTC 42833, CCTCC AB 2015301",1,Mucilaginibacter pedocola,GCA_002013915,negative
133144,PP-F2F-G21,"DSM 100995, CCM 8625, CIP 110921, LMG 29118",1,Mucilaginibacter phyllosphaerae,GCA_014196695,negative
136734,"47C3B, M47C3B","CIP 110632, UCCCB38, LMG 28160",1,Mucilaginibacter pineti,GCA_900101875,negative
133386,NH7-4,"JCM 30607, CGMCC 1.14937",1,Mucilaginibacter psychrotolerans,GCA_004519315,negative
140897,TTM-1,"LMG 28454, KCTC 42273",1,Mucilaginibacter roseus,GCA_021215455,negative
140679,EF23,"CGMCC 1.15913, KCTC 52516",1,Mucilaginibacter rubeus,GCA_014643835,negative
166238,ZH6,"CCTCC AB 2018373, KCTC 72075",1,Mucilaginibacter terrenus,GCA_003432065,negative
132970,yx-36,"DSM 26809, CCTCC AB 2012880",1,Mucilaginibacter yixingensis,GCA_003050755,negative
159692,"25C, TLL-A4","DSM 108194, KCTC 15770",1,Muribaculum gordoncarteri,GCA_004803695,negative
131536,YL27,"DSM 28989, KCTC 15537",1,Muribaculum intestinale,GCA_001688845,negative
164551,SCR12,"JCM 33425, MCCC 1K03731",1,Flagellimonas alvinocaridis,GCA_004916895,negative
166220,GCL-11,"MCCC 1A11649, KCTC 52432",1,Flagellimonas amoyensis,GCA_003058265,negative
24031,Ar-22,"DSM 26351, CGMCC 1.12174, JCM 18450",1,Flagellimonas taeanensis,GCA_900112295,negative
133699,SW-63,"KCCM 41646, JCM 11811, CIP 108790",1,Flagellimonas marinaquae,GCA_003992675,negative
166844,HME9304,"KCTC 32464, KACC 17618, CECT 8418, HME 9304",1,Flagellimonas maritima,GCA_003269425,negative
133724,BB-My12,"KCTC 23501, CCUG 60800",1,Flagellimonas beolgyonensis,GCA_003992615,negative
5744,A11,"DSM 22638, KCTC 22665",1,Flagellimonas flava,GCA_900129665,negative
166284,176CP4-71,"KACC 19889, LMG 31033",1,Flagellimonas allohymeniacidonis,GCA_004296335,negative
133488,CC-HSB-11,"BCRC 17850, KCTC 22339",1,Flagellimonas lutaonensis,GCA_000963865,negative
133397,CSW06,"CGMCC 1.15761, JCM 31455, KCTC 52375, MCCC 1K03195",1,Croceivirga lutea,GCA_014235875,negative
134341,SMK-108,"KCTC 22173, CCUG 55324",1,Flagellimonas lutimaris,GCA_003581615,negative
166526,SM1704,"KCTC 62797, MCCC 1K03557",1,Flagellimonas nanhaiensis,GCA_003382275,negative
133485,"5KCCM90075, CL-SS4","JCM 15563, KCCM 90075",1,Flagellimonas olearia,GCA_009184425,negative
5619,B1,"DSM 13258, KCTC 12948, LMG 19739, CIP 107369, KCTC 62007",1,Flagellimonas ruestringensis,GCA_000224085,negative
133943,105,"KACC 16195, JCM 17757",1,Flagellimonas taeanensis,GCA_003584105,negative
24030,12C25,"DSM 25030, CGMCC 1.11028, MCCC 1F01096",1,Flagellimonas zhangzhouensis,GCA_900102925,negative
131529,2-PG-424-CC-1,"DSM 29489, KCTC 15545",1,Muricomes intestini,GCA_004346165,positive
5740,EM44,"DSM 21206, KCTC 22299",1,Muriicola jejuensis,GCA_010671595,negative
11264,14-Be-013,"DSM 45312, CCM 7612, CCUG 57390, JCM 17973, CIP 110198",1,Murinocardiopsis flavida,GCA_003014485,positive
12588,XLG910.2,"DSM 15700, CGMCC 1.3458, JCM 14112, NBRC 106321",1,Myceligenerans xiligouense,GCA_003814695,positive
133809,MB1-14,"CCTCC AB 209002, KCTC 19753, JCM 19955",1,Mycetocola manganoxydans,GCA_003667545,positive
133953,MD-T1-10-2,"CGMCC 1.11101, NBRC 107877",1,Mycetocola miduiensis,GCA_900115155,positive
7471,"BRB-1L41, R-20377","DSM 18580, JCM 30549, LMG 22367",1,Mycetocola reblochoni,GCA_003667525,positive
133932,ZD1-4,"KACC 16570, CGMCC 1.12042, JCM 18131",1,Mycetocola zhadangensis,GCA_003668565,positive
1977,HK10456-B5,"DSM 19003, CIP 109454, HKI 456",1,Mycetohabitans endofungorum,GCA_002927045,negative
1976,,"DSM 19002, CIP 109453, HKI 454",1,Mycetohabitans rhizoxinica,GCA_000198775,negative
140847,B1-EB,"JCM 30646, LMG 28693, NBRC 110909",1,Mycoavidus cysteinexigens,GCA_003966915,negative
8547,BD,"DSM 45149, CCUG 50184, CIP 108541, JCM 15297, BCRC 16915",1,Mycobacterium abscessus subsp. bolletii,GCA_000239035,positive
8546,,"DSM 45103, CCUG 48898, CIP 108297, KCTC 19086, JCM 15300, Timone LB, BCRC 16916",1,Mycobacterium abscessus subsp. massiliense,GCA_000239055,positive
8464,90012,"CCUG 37673 B, KCTC 9502, DSM 44515, ATCC 27406, CCUG 37673, CIP 105391, JCM 6377, CCUG 37673 A",1,Mycobacterium agri,GCA_002553505,positive
8441,49005,"DSM 44147, ATCC 27280, JCM 6376, NCTC 10820, CCUG 37672, LMG 19259, CIP 106808",1,Mycobacterium aichiense,GCA_010726245,positive
8586,Bejaia,"DSM 45454, CIP 110121, TBE 500028/10, JCM 30723",1,Mycobacterium algericum,GCA_002086455,positive
24237,,"DSM 45768, JCM 18538, YIM 121001",1,Mycobacterium arabiense,GCA_010731815,positive
8573,JS19b1,"DSM 45407, ATCC BAA-1378, CIP 109274, JCM 16368",1,Mycobacterium aromaticivorans,GCA_000559085,positive
8448,"E9789-SA 12441, SA12441, 9789, 14 150 0001","DSM 44191, ATCC 33464, JCM 6369, CCUG 37667, CIP 105395, HAMBI 2271, KCTC 9504",1,Mycobacterium austroafricanum,GCA_000612725,positive
24234,4355387,"DSM 45439, CCUG 56331, CIP 109827, CSUR P34, JCM 17323",0,Mycobacterium avium,GCA_002086165,positive
8445,6409,"DSM 44175, ATCC 49884, CCUG 47446, CIP 103317, KCTC 19633",1,Mycobacterium avium subsp. silvaticum,GCA_000504975,positive
158502,"2013500264, 901379","DSM 104308, CCOS 1136, CIP 111488",1,Mycobacterium basiliense,GCA_900292015,positive
8519,"MF-657, W5998","DSM 44677, ATCC 49935, CCUG 47580, CIP 107829, JCM 15653",1,Mycobacterium boenickei,GCA_002553535,positive
24238,"02-5273-A84, MLB-A84, MLB-A84 (5273)","DSM 45746, CIP 110557, JCM 30725",1,Mycobacterium bourgelatii,GCA_010723575,positive
8521,"MF-614, W6743","DSM 44680, ATCC 49938, CCUG 47584, CIP 107830, JCM 15654",1,Mycobacterium brisbanense,GCA_001570425,positive
140781,QIA-37,"KCTC 39630, JCM 30986",1,Mycobacterium chelonae subsp. bovistauri,GCA_001611855,positive
8574,czh-42,"DSM 45433, ATCC BAA-1373, CIP 109269, JCM 16369",1,Mycobacterium crocinum,GCA_001314145,positive
8247,"D-25 (TMC 1541), D-25, 14 023 0001","DSM 43991, ATCC 14474, TMC 1541, CCUG 29041, CCUG 32167, CIP 104533, CCUG 27974, NCTC 10271",1,Mycobacterium flavescens,GCA_025822705,positive
158264,PB739,"DSM 104744, CIP 111318",1,Mycobacterium grossiae,GCA_008329645,positive
131823,"MF-89, W5198","DSM 44676, ATCC 49403, CDC 80-719, CCUG 47581, JCM 15656, CIP 107828",1,Mycobacterium houstonense,GCA_025823315,positive
8559,FI-06250,"DSM 45132, CIP 109609, CCUG 55636, JCM 16366",1,Mycobacterium insubricum,GCA_010731615,positive
8592,05-1390,"DSM 45126, KCTC 19555, JCM 19957",0,Mycobacterium intracellulare subsp. chimaera,GCA_000418535,positive
8347,M05,"DSM 45541, CCUG 62053, JCM 17461",1,Mycobacterium iranicum,GCA_002101705,positive
8589,01-305,"DSM 45576, KCTC 19819, JCM 19956",1,Mycobacterium koreense,GCA_002104795,positive
158311,,"CECT 9646, DSM 107316, NCTC 11659",1,Mycobacterium kyogaense,GCA_003254575,positive
8339,40,"DSM 43219, CECT 8763, SN 1900",1,Mycobacterium lehmannii,GCA_002245535,positive
8588,F4,"DSM 45785, CGMCC 4.5724, JCM 17423",1,Mycobacterium litorale,GCA_002007745,positive
132613,"071, ParisRGMnew_1, 2008-71","DSM 46713, CIP 110656",1,Mycobacterium lutetiense,GCA_017876775,positive
